NAME,DATE,OPPONENT,Goals,Assists,Points,PIMS,PPG,SHG,ENG,GWG,GTG,Shots,,,,,,,,,,,,,,
Max Vallis,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Max Vallis,2-Nov,Michigan,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,5-Oct,Laurentian,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,11-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,12-Oct,Minn.Duluth,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Cliff Watson,18-Oct,NotreDame,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,20-Oct,NotreDame,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,25-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,26-Oct,NorthernMich.,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,
Cliff Watson,1-Nov,Michigan,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cliff Watson,2-Nov,Michigan,0,0,0,2,0,0,0,0,0,0,,,,,,,,,,,,,,
